epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,578.356,0.97749,0.674,0.96952,0.89634,0.78612,0.87614,0.57322,1.29421,1.00322,1.16935,0.0011684,0.0011684,0.0011684
44,591.653,1.03648,0.66419,1.00806,0.92899,0.72727,0.88605,0.57953,1.26925,0.92789,1.13857,0.0011486,0.0011486,0.0011486
45,604.978,1.00595,0.63734,0.97399,0.86191,0.78788,0.85123,0.53428,1.31256,0.94346,1.18791,0.0011288,0.0011288,0.0011288
46,618.244,0.93511,0.65306,0.97345,0.86345,0.78788,0.84514,0.55221,1.28905,1.03966,1.14285,0.001109,0.001109,0.001109
47,630.841,0.94189,0.65126,0.9628,0.8709,0.81773,0.82405,0.54713,1.19679,1.07795,1.0932,0.0010892,0.0010892,0.0010892
48,643.331,0.89516,0.62243,0.93915,0.89638,0.78649,0.82945,0.5628,1.17561,1.15999,1.08061,0.0010694,0.0010694,0.0010694
49,654.274,0.99253,0.63199,0.96102,0.88783,0.78788,0.83505,0.56414,1.25741,1.11032,1.12703,0.0010496,0.0010496,0.0010496
50,664.7,0.88441,0.57668,0.93241,0.89946,0.81341,0.84473,0.57637,1.27249,1.00419,1.12804,0.0010298,0.0010298,0.0010298
51,675.529,0.89375,0.58341,0.93804,0.89449,0.81818,0.83037,0.56319,1.24545,0.97949,1.13819,0.00101,0.00101,0.00101
52,687.597,0.90266,0.57884,0.94767,0.92772,0.77818,0.85003,0.57777,1.25186,0.93623,1.12714,0.0009902,0.0009902,0.0009902
53,699.245,0.92803,0.60603,0.96332,0.92861,0.72727,0.84723,0.55401,1.30571,0.98799,1.17435,0.0009704,0.0009704,0.0009704
54,711.627,0.91689,0.60449,0.94818,0.86786,0.84848,0.85937,0.58106,1.24106,0.96203,1.14269,0.0009506,0.0009506,0.0009506
55,722.451,0.89824,0.60658,0.93869,0.92977,0.81818,0.8841,0.59902,1.21121,0.94763,1.13416,0.0009308,0.0009308,0.0009308
56,734.61,0.92759,0.60963,0.95017,0.91112,0.81818,0.89133,0.62291,1.20051,0.83886,1.12452,0.000911,0.000911,0.000911
57,745.649,0.92837,0.56945,0.95871,0.89022,0.84848,0.8944,0.62156,1.1528,0.83656,1.10361,0.0008912,0.0008912,0.0008912
58,756.091,0.92147,0.58,0.96775,0.86779,0.84848,0.86956,0.60468,1.2025,0.91079,1.12104,0.0008714,0.0008714,0.0008714
59,767.757,0.95248,0.60396,0.9431,0.96263,0.78089,0.90056,0.60757,1.18762,0.92486,1.10157,0.0008516,0.0008516,0.0008516
60,778.733,0.86972,0.56222,0.94161,0.87388,0.84848,0.89714,0.61589,1.1844,0.8474,1.0922,0.0008318,0.0008318,0.0008318
61,789.817,0.86656,0.54528,0.92667,0.87266,0.84848,0.89114,0.61192,1.21107,0.90941,1.10083,0.000812,0.000812,0.000812
62,801.478,0.84343,0.54027,0.91328,0.93068,0.81384,0.88575,0.61544,1.18976,0.92121,1.12933,0.0007922,0.0007922,0.0007922
63,812.84,0.87587,0.55069,0.92836,0.92808,0.78227,0.8917,0.62003,1.18531,0.88656,1.11573,0.0007724,0.0007724,0.0007724
64,823.351,0.87598,0.54606,0.92585,0.91875,0.78788,0.895,0.59555,1.24246,0.86637,1.12667,0.0007526,0.0007526,0.0007526
65,834.071,0.82739,0.5226,0.92586,0.92768,0.81818,0.90356,0.59902,1.24408,0.80303,1.13937,0.0007328,0.0007328,0.0007328
66,844.522,0.85084,0.52358,0.92494,0.93324,0.84726,0.90924,0.63825,1.23291,0.80495,1.14435,0.000713,0.000713,0.000713
67,855.348,0.80163,0.51887,0.91392,0.9369,0.90006,0.91982,0.62292,1.23428,0.7795,1.16602,0.0006932,0.0006932,0.0006932
68,865.717,0.78369,0.51717,0.90429,0.93684,0.89914,0.91346,0.61987,1.20448,0.81047,1.13598,0.0006734,0.0006734,0.0006734
69,876.256,0.78702,0.51776,0.89513,0.92482,0.84848,0.90782,0.65271,1.18351,0.84313,1.10793,0.0006536,0.0006536,0.0006536
70,886.001,0.85126,0.54453,0.91768,0.93273,0.84057,0.91589,0.63842,1.15414,0.81736,1.08472,0.0006338,0.0006338,0.0006338
71,895.667,0.83122,0.52205,0.90579,0.87004,0.84848,0.92171,0.63292,1.23318,0.83525,1.11402,0.000614,0.000614,0.000614
