epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/bib,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,10,,,,,,,,,,,,,,,,,,0.08748427778482437,0.08877284824848175,0.1758795827627182,0.08917175233364105,0.3606060743331909,5.116832256317139,0.1761631816625595,0.08748427778482437,0.07653439790010452,0.3424242436885834,0.04857143014669418,0.5151515007019043
0,10,3.3181817531585693,5.613636493682861,3.982954502105713,100.0,8.312762260437012,0.049311812967061996,0.05713602155447006,0.06128713861107826,1.6855639219284058,1.6682807207107544,1.6937155723571777,0.3730635643005371,0.4081060588359833,0.432094007730484,,,,,,,,,,,,,,,
1,21,,,,,,,,,,,,,,,,,,0.41266292333602905,0.3720930218696594,0.5968695878982544,0.3935447931289673,0.7696969509124756,4.938055038452148,0.6178866624832153,0.41266292333602905,0.46817225217819214,0.7636363506317139,0.800000011920929,0.24242424964904785
1,21,184.03977966308594,292.1420593261719,89.59091186523438,96.54289245605469,5.317840099334717,0.02702433057129383,0.032732874155044556,0.03755277395248413,1.1153794527053833,1.0585761070251465,1.0351382493972778,0.2426181435585022,0.26716676354408264,0.3013128340244293,,,,,,,,,,,,,,,
2,32,,,,,,,,,,,,,,,,,,0.5078010559082031,0.6857143044471741,0.746001124382019,0.5134000182151794,0.7727272510528564,5.13055944442749,0.739003598690033,0.5078010559082031,0.6233067512512207,0.7484848499298096,0.6486486196517944,0.7272727489471436
2,32,1938.3807373046875,1831.5909423828125,489.11932373046875,11.57863998413086,5.288360118865967,0.021167263388633728,0.022350208833813667,0.025539888069033623,1.2182989120483398,1.1886814832687378,1.1310417652130127,0.21969205141067505,0.23155075311660767,0.25128278136253357,,,,,,,,,,,,,,,
3,43,,,,,,,,,,,,,,,,,,0.5392723083496094,0.8307692408561707,0.8327724933624268,0.5315093398094177,0.7545454502105713,4.592303276062012,0.8459100723266602,0.5392723083496094,0.6562716960906982,0.7575757503509521,0.84375,0.8181818127632141
3,43,3486.818115234375,3181.2841796875,1584.20458984375,0.7900418639183044,4.99763298034668,0.019096584990620613,0.01897062174975872,0.020336003974080086,1.0623650550842285,1.1802963018417358,1.2237114906311035,0.20731645822525024,0.1994577795267105,0.21284757554531097,,,,,,,,,,,,,,,
4,49,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,
4,54,,,,,,,,,,,,,,,,,,0.6285802125930786,0.8666666746139526,0.9065029621124268,0.6244082450866699,0.7636363506317139,3.99165415763855,0.9119670391082764,0.6285802125930786,0.7854437828063965,0.760606050491333,0.9629629850387573,0.7878788113594055
4,54,3539.863525390625,3465.431884765625,1764.6988525390625,0.3761073052883148,4.505257606506348,0.01917973905801773,0.017200307920575142,0.021943671628832817,0.7816713452339172,1.0690652132034302,1.1250929832458496,0.20699134469032288,0.18792487680912018,0.22398820519447327,,,,,,,,,,,,,,,
5,65,,,,,,,,,,,,,,,,,,0.6555160284042358,0.920634925365448,0.9240090250968933,0.6512660980224609,0.7696969509124756,3.6334710121154785,0.9256749153137207,0.6555160284042358,0.7765723466873169,0.7666666507720947,0.9666666388511658,0.8787878751754761
5,65,3511.35791015625,3458.9658203125,1907.8863525390625,0.22263579070568085,4.0453338623046875,0.019173502922058105,0.018343698233366013,0.021624403074383736,0.649185061454773,0.9253097176551819,0.9106359481811523,0.20810407400131226,0.19995331764221191,0.22419032454490662,,,,,,,,,,,,,,,
6,76,,,,,,,,,,,,,,,,,,0.662265419960022,0.920634925365448,0.9559937715530396,0.6688766479492188,0.760606050491333,3.385399103164673,0.9556337594985962,0.662265419960022,0.7807063460350037,0.7636363506317139,0.9666666388511658,0.8787878751754761
6,76,3510.70458984375,3489.823974609375,1913.7386474609375,0.14735151827335358,3.770334005355835,0.019607925787568092,0.01937897875905037,0.021199559792876244,0.5972393155097961,0.8476553559303284,0.738447368144989,0.2151438295841217,0.20604489743709564,0.22184114158153534,,,,,,,,,,,,,,,
7,87,,,,,,,,,,,,,,,,,,0.6597136855125427,0.90625,0.9529423117637634,0.6609228253364563,0.7727272510528564,3.213397979736328,0.9555233120918274,0.6597136855125427,0.783008337020874,0.760606050491333,0.9354838728904724,0.8787878751754761
7,87,3632.92041015625,3605.573974609375,2188.8125,0.08292874693870544,3.4482598304748535,0.019455449655652046,0.018171779811382294,0.020622124895453453,0.5491780638694763,0.73130202293396,0.6394652128219604,0.2034444659948349,0.1976848691701889,0.2174045890569687,,,,,,,,,,,,,,,
8,98,,,,,,,,,,,,,,,,,,0.6633527874946594,0.9032257795333862,0.9631808996200562,0.674421489238739,0.7848485112190247,3.151146650314331,0.9678487777709961,0.6633527874946594,0.8188110589981079,0.7545454502105713,0.9655172228813171,0.8484848737716675
8,98,3601.1875,3514.272705078125,2387.5966796875,0.08741135895252228,3.2028648853302,0.017321892082691193,0.017562691122293472,0.020820442587137222,0.501318097114563,0.6700605154037476,0.5772289037704468,0.18648932874202728,0.18836022913455963,0.21301664412021637,,,,,,,,,,,,,,,
9,99,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,
9,109,,,,,,,,,,,,,,,,,,0.6749318838119507,0.9032257795333862,0.9599847197532654,0.6634521484375,0.7575757503509521,3.1026458740234375,0.9637385606765747,0.6749318838119507,0.7833206653594971,0.7696969509124756,0.9655172228813171,0.8484848737716675
9,109,3570.10791015625,3478.539794921875,2402.494384765625,0.5374240875244141,3.143275499343872,0.01778969168663025,0.01843450218439102,0.02041209116578102,0.4918478727340698,0.609957754611969,0.5446439385414124,0.19508004188537598,0.20046521723270416,0.21127699315547943,,,,,,,,,,,,,,,
10,120,,,,,,,,,,,,,,,,,,0.6669524908065796,0.9180327653884888,0.9645394682884216,0.6634288430213928,0.760606050491333,3.000796318054199,0.9610468149185181,0.6669524908065796,0.7547512054443359,0.7515151500701904,1.0,0.8484848737716675
10,120,3606.085205078125,3485.17041015625,2504.5966796875,0.07198524475097656,2.9277405738830566,0.015758942812681198,0.015842989087104797,0.01728452742099762,0.46673300862312317,0.5878450870513916,0.5123457312583923,0.182654470205307,0.1832009255886078,0.19233670830726624,,,,,,,,,,,,,,,
11,131,,,,,,,,,,,,,,,,,,0.6656798720359802,0.9180327653884888,0.970058798789978,0.6760496497154236,0.7636363506317139,3.027012586593628,0.9607372283935547,0.6656798720359802,0.8199761509895325,0.7787878513336182,1.0,0.8484848737716675
11,131,3506.676025390625,3398.943115234375,2385.193115234375,0.11738169938325882,3.0661423206329346,0.017197277396917343,0.018401028588414192,0.017827369272708893,0.4997004270553589,0.6266499161720276,0.5110997557640076,0.18791718780994415,0.19518405199050903,0.19768060743808746,,,,,,,,,,,,,,,
12,142,,,,,,,,,,,,,,,,,,0.655717134475708,0.9117646813392639,0.9353647232055664,0.663642942905426,0.760606050491333,3.1611692905426025,0.9340206384658813,0.655717134475708,0.8322340846061707,0.7363636493682861,0.8857142925262451,0.939393937587738
12,142,3568.556884765625,3445.494384765625,2696.8466796875,0.030850844457745552,2.953160047531128,0.0166106428951025,0.016673855483531952,0.017009640112519264,0.48428523540496826,0.6103466749191284,0.5129926204681396,0.18270660936832428,0.18124352395534515,0.1830824464559555,,,,,,,,,,,,,,,
13,149,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,
