epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/bib,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
4,54,3466.48291015625,3489.119384765625,1693.7442626953125,0.1759588122367859,4.455254077911377,0.01783565990626812,0.016003824770450592,0.02025924250483513,0.7788843512535095,1.0639746189117432,1.116383671760559,0.20383000373840332,0.18883804976940155,0.22009100019931793,,,,,,,,,,,,,,,
5,65,,,,,,,,,,,,,,,,,,0.6610528230667114,0.892307698726654,0.912436306476593,0.6551462411880493,0.800000011920929,3.724687099456787,0.9114488363265991,0.6610528230667114,0.7900587916374207,0.7878788113594055,0.90625,0.8787878751754761
5,65,3347.75,3385.914794921875,1995.32958984375,0.11536650359630585,3.8742456436157227,0.01689048483967781,0.016778720542788506,0.01899932511150837,0.6388852596282959,0.9128299355506897,0.8859601616859436,0.1910984367132187,0.18803167343139648,0.2074836790561676,,,,,,,,,,,,,,,
6,76,,,,,,,,,,,,,,,,,,0.6571904420852661,0.9230769276618958,0.9220240116119385,0.6441037058830261,0.7696969509124756,3.4768478870391846,0.9317486882209778,0.6571904420852661,0.8082426190376282,0.7727272510528564,0.9375,0.9090909361839294
6,76,3378.011474609375,3437.914794921875,2100.95458984375,0.03884870186448097,3.5776984691619873,0.016661593690514565,0.016816500574350357,0.019131161272525787,0.5843688249588013,0.8428672552108765,0.6982784867286682,0.19410349428653717,0.19114035367965698,0.20932497084140778,,,,,,,,,,,,,,,
7,87,,,,,,,,,,,,,,,,,,0.6440128684043884,0.920634925365448,0.9236615300178528,0.6593926548957825,0.7545454502105713,3.354330539703369,0.9235439896583557,0.6440128684043884,0.7573670744895935,0.7575757503509521,0.9666666388511658,0.8787878751754761
7,87,3485.6533203125,3520.801025390625,2356.977294921875,0.15956133604049683,3.3821747303009033,0.017455345019698143,0.01730959862470627,0.019385483115911484,0.536378800868988,0.7251333594322205,0.61424320936203,0.19961903989315033,0.1995236873626709,0.2186908721923828,,,,,,,,,,,,,,,
8,98,,,,,,,,,,,,,,,,,,0.6202179193496704,0.9032257795333862,0.9106894731521606,0.6465153694152832,0.760606050491333,3.4745028018951416,0.9007010459899902,0.6202179193496704,0.7574415802955627,0.7484848499298096,0.9655172228813171,0.8484848737716675
8,98,3547.0341796875,3478.352294921875,2658.363525390625,0.2215191274881363,3.056752920150757,0.01487602386623621,0.015167697332799435,0.018075399100780487,0.47796013951301575,0.6337181925773621,0.5453287959098816,0.18359722197055817,0.1864023655653,0.20957541465759277,,,,,,,,,,,,,,,
9,99,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,
